Unnamed: 0,prompt,response
241,আমি কিছু শুনিনি।,আমার বস আমাকে প্রচারের প্রস্তাব দিয়েছিলেন এবং আমি এটি নিয়েছি।
242,আমার বস আমাকে প্রচারের প্রস্তাব দিয়েছিলেন এবং আমি এটি নিয়েছি।,আপনি কি গুরুতর?
243,আপনি কি গুরুতর?,"হ্যাঁ, আমি সত্যিই উত্তেজিত।"
244,"হ্যাঁ, আমি সত্যিই উত্তেজিত।",দারুণ.
245,দারুণ.অভিনন্দন।,আমি ওটার তারিফ করি.
246,আমি ওটার তারিফ করি.,আমি আপনার জন্য কতটা খুশি তা আপনার কোনও ধারণা নেই।
247,আমি আপনার জন্য কতটা খুশি তা আপনার কোনও ধারণা নেই।,বাস্তবিক?
248,আপনি আজ সত্যিই সুন্দর দেখাচ্ছে।,ধন্যবাদ.
249,ধন্যবাদ.,"really, where did you get it?"
250,"really, where did you get it?",আমি এটি ম্যাসি থেকে পেয়েছি।
251,আমি এটি ম্যাসি থেকে পেয়েছি।,এটা সত্তিই সুন্দর.
252,এটা সত্তিই সুন্দর.,আবার ধন্যবাদ.আপনি আজও সুন্দর দেখাচ্ছে।
253,আবার ধন্যবাদ.আপনি আজও সুন্দর দেখাচ্ছে।,ধন্যবাদ.
254,ধন্যবাদ.আমি আজ এই জুতা পেয়েছি।,সত্যিই?
255,সত্যিই?তারা কি ধরণের জুতা?,এগুলিকে সমস্ত তারকা চক টেলর বলা হয়।
256,এগুলিকে সমস্ত তারকা চক টেলর বলা হয়।,আমি সত্যিই তাদের পছন্দ।তাদের কত খরচ হয়েছিল?
257,আমি সত্যিই তাদের পছন্দ।তাদের কত খরচ হয়েছিল?,তারা প্রায় চল্লিশ ডলার ছিল।
258,তারা প্রায় চল্লিশ ডলার ছিল।,আমি মনে করি আমি নিজেকে একটি জুড়ি কিনতে যাচ্ছি।
259,আপনি আজ যা পরেছেন তা আমি একেবারে পছন্দ করি।,তুমি কর?আমি কয়েক দিন আগে এই পোশাকটি কিনেছি।
260,তুমি কর?,"সিরিয়াসলি, এটি আপনার উপর সত্যিই দুর্দান্ত দেখাচ্ছে।আপনি কোথা থেকে এটি কিনেছেন?"
261,"সিরিয়াসলি, এটি আপনার উপর সত্যিই দুর্দান্ত দেখাচ্ছে।আপনি কোথা থেকে এটি কিনেছেন?",আমি এটি সান্তা অনিতা মলে ম্যাসির কাছ থেকে কিনেছি।
262,আমি এটি সান্তা অনিতা মলে ম্যাসির কাছ থেকে কিনেছি।,আমি সত্যিই সেই পোশাকটি পছন্দ করি।
263,আমি সত্যিই সেই পোশাকটি পছন্দ করি।,ধন্যবাদ।আমি মনে করি আপনি আজও সুন্দর দেখাচ্ছে।
264,ধন্যবাদ।আমি মনে করি আপনি আজও সুন্দর দেখাচ্ছে।,ধন্যবাদ.আমি আজকের আগে এই নতুন জুতা কিনেছি।
